,0,1,2,3,4,5,6,7,8
34,184.,04535,Dariusz Bogucki,SW,18,AM,8 406,E,Dr SMILE Starachowice
35,185.,06972,Jacek Turczynowicz,MA,18,AM,7 795,-,
36,186.,06864,Andrzej Potyński,WM,18,AM,7 020,-,
37,187.,04581,Kazimierz Gralak,PM,18,AM,6 787,3,OSiR Activa PL Juszkowo
38,188.,03001,Marek Tutka,SW,18,AM,5 238,-,
39,189.,08294,Mariusz Bartkowski,KP,18,AM,4 147,E,LKS KASZTELAN KONKRET Chełmno
40,190.,07827,Lech Ohrysko,SL,18,AM,2 473,E,TB Silesia I Gliwice
41,191.,05708,Janusz Makaruk,LD,18,AM,2 203,1,Inwit Pabianice
42,192.,04844,Jacek Szutowicz,PM,18,AM,2 106,-,
43,193.,04505,Mirosław Wołek,WM,18,AM,86,-,
44,194.,00683,Andrzej Olszewski,MA,18,AM,0,-,
45,,00663,Jan Wieczorkiewicz,MA,18,AM,0,-,
46,,00669,Jerzy Wołosewicz,MA,18,AM,0,-,
47,197.,04735,Wacław Wejknis,PM,17,A,19 891,1,GTB ANDRZEJKI Gdańsk
48,198.,04593,Wacław Janicki,PM,17,A,19 610,2,Infiniti Brokerzy Gdynia
49,199.,05069,Paweł Jassem,WP,17,A,19 455,1,DĄBRÓWKA NAUKABRYDZA.PL Poznań
50,200.,04109,Łukasz Brede,WP,17,A,18 060,1,UKB KLEKS Szamotuły
0,lokata,PID,imię i nazwisko,WZBS,WK,TK,PKL,liga,klub / drużyna
1,201.,01831,Marian Kupnicki,KP,17,A,17 891,E,LKS KASZTELAN KONKRET Chełmno
2,202.,09550,Jakub Wojcieszek,WP,17,A,17 624,1,DĄBRÓWKA NAUKABRYDZA.PL Poznań
3,203.,06629,Włodzimierz Ilnicki,MA,17,A,16 818,-,Singleton Warszawa
4,204.,07809,Piotr Kołuda,LU,17,A,16 319,E,SYNERGIA ILANKA
5,205.,07242,Vytautas Vainikonis,WM,17,A,15 926,E,VITAS ESBS Elblag
6,206.,01865,Andrzej Pawlak,OP,17,A,15 196,E,SYNIS VALUE MEDIA OPOLE
7,207.,04163,Andrei Arlovich,DS,17,A,14 146,E,BRIDGESCANNER KS AZS Wratislavia I WR
8,208.,04022,Adam Wujków,KP,17,A,13 167,E,LKS KASZTELAN KONKRET Chełmno
9,209.,06620,Igor Grzejdziak,WM,17,A,12 563,E,ŁĄCZNOŚĆ Olsztyn
10,210.,03542,Andrzej Szymczak,SL,17,A,12 546,1,TB Silesia II Gliwice
11,211.,06693,Jacek Korpetta,MA,17,A,12 281,-,
12,212.,05534,Stanisław Zakrzewski,WP,17,A,12 092,3,Park Tenisowy
13,213.,10095,Paweł Miechowicz,LU,17,A,9 206,E,SYNERGIA ILANKA
14,214.,06807,Jan Moszyński,WP,17,A,8 230,-,
